631662 (1st: 2.86, 2nd: 2.74, 3rd: 2.48, 4th: 3.21) [Referred: None]
731588 (1st: 3.17, 2nd: 3.07, 3rd: 3.29, 4th: 3.40) [Referred: None]
731590 (1st: 3.21, 2nd: 3.28, 3rd: 3.25, 4th: 3.46) [Referred: None]
731595 (1st: 3.26, 2nd: 3.41, 3rd: 3.33, 4th: 3.33) [Referred: None]
731596 (1st: 3.26, 2nd: 3.09, 3rd: 2.99, 4th: 3.31) [Referred: None]
731597 (1st: 2.95, 2nd: 3.09, 3rd: 3.24, 4th: 3.30) [Referred: None]
731598 (1st: 2.90, 2nd: 2.61, 3rd: 2.74, 4th: 3.01) [Referred: None]
731599 (1st: 3.19, 2nd: 3.02, 3rd: 3.25, 4th: 3.52) [Referred: None]
731600 (1st: 2.98, 2nd: 3.32, 3rd: 3.10, 4th: 3.71) [Referred: None]
731610 (1st: 3.10, 2nd: 3.16, 3rd: 2.92, 4th: 3.31) [Referred: None]
731611 (1st: 3.33, 2nd: 3.30, 3rd: 3.07, 4th: 3.32) [Referred: None]
731616 (1st: 3.00, 2nd: 3.06, 3rd: 3.18, 4th: 3.04) [Referred: None]
731617 (1st: 3.17, 2nd: 2.85, 3rd: 3.10, 4th: 2.98) [Referred: None]
731620 (1st: 3.24, 2nd: 3.05, 3rd: 2.67, 4th: 3.19) [Referred: None]
731625 (1st: 3.06, 2nd: 3.30, 3rd: 2.76, 4th: 3.25) [Referred: None]
731627 (1st: 3.05, 2nd: 2.94, 3rd: 2.74, 4th: 3.15) [Referred: None]
731631 (1st: 3.14, 2nd: 3.16, 3rd: 3.12, 4th: 3.23) [Referred: None]
731633 (1st: 2.83, 2nd: 2.93, 3rd: 2.81, 4th: 3.15) [Referred: None]
731635 (1st: 3.33, 2nd: 3.21, 3rd: 2.89, 4th: 2.98) [Referred: None]
731636 (1st: 2.87, 2nd: 2.98, 3rd: 2.91, 4th: 2.92) [Referred: None]
731638 (1st: 2.92, 2nd: 3.23, 3rd: 3.19, 4th: 3.20) [Referred: None]
731640 (1st: 3.10, 2nd: 3.24, 3rd: 3.13, 4th: 3.06) [Referred: None]
731642 (1st: 3.28, 2nd: 3.35, 3rd: 3.10, 4th: 3.10) [Referred: None]
731647 (1st: 3.31, 2nd: 3.47, 3rd: 3.44, 4th: 3.34) [Referred: None]
731649 (1st: 3.08, 2nd: 2.85, 3rd: 2.74, 4th: 3.18) [Referred: None]
731650 (1st: 3.40, 2nd: 3.30, 3rd: 3.26, 4th: 3.09) [Referred: None]
731651 (1st: 3.11, 2nd: 3.08, 3rd: 3.14, 4th: 3.02) [Referred: None]
731652 (1st: 3.03, 2nd: 3.07, 3rd: 3.29, 4th: 3.16) [Referred: None]
731654 (1st: 2.99, 2nd: 3.04, 3rd: 3.01, 4th: 3.30) [Referred: None]
731655 (1st: 3.12, 2nd: 3.18, 3rd: 3.01, 4th: 3.28) [Referred: None]
